檔案名稱,成功處理,記錄數,處理時間(秒),平均每筆時間(秒)
三峽區國土功能分區清冊(公展版)1123.pdf,True,56945,563.1042051315308,0.009888562738283093
三芝區國土功能分區清冊(公展版)1123.pdf,True,30694,409.2805390357971,0.013334219685795175
三重區國土功能分區清冊(公展版)1123.pdf,True,74980,709.0321710109711,0.009456283955867846
中和區國土功能分區清冊(公展版)1123.pdf,True,57690,574.3302159309387,0.009955455294348044
五股區國土功能分區清冊(公展版)1123.pdf,True,26506,283.5827419757843,0.01069881317346202
八里區國土功能分區清冊(公展版)1123.pdf,True,23795,224.49867248535156,0.009434699411025491
土城區國土功能分區清冊(公展版)1123.pdf,True,37952,388.11439538002014,0.010226454347070514
坪林區國土功能分區清冊(公展版)1123.pdf,True,31109,303.63020730018616,0.009760204677109073
平溪區國土功能分區清冊(公展版)1123.pdf,True,19665,262.55641746520996,0.013351457791264173
新店區國土功能分區清冊(公展版)1123.pdf,True,92368,911.044900894165,0.009863209129722036
新莊區國土功能分區清冊(公展版)1123.pdf,True,57015,555.5439760684967,0.009743821381539888
板橋區國土功能分區清冊(公展版)1123.pdf,True,81229,777.8747878074646,0.009576318652297388
林口區國土功能分區清冊(公展版)1123.pdf,True,33656,372.0956840515137,0.011055849894566011
樹林區國土功能分區清冊(公展版)1123.pdf,True,50438,564.0779223442078,0.011183590196760533
永和區國土功能分區清冊(公展版)1123.pdf,True,30959,312.54331135749817,0.010095394274928072
汐止區國土功能分區清冊(公展版)1123.pdf,True,59505,705.6896078586578,0.011859332961241203
泰山區國土功能分區清冊(公展版)1123.pdf,True,24114,259.03738832473755,0.010742199067957932
淡水區國土功能分區清冊(公展版)1123.pdf,True,62271,697.9934351444244,0.011208964608636837
深坑區國土功能分區清冊(公展版)1123.pdf,True,15833,230.30378699302673,0.014545808563950402
烏來區國土功能分區清冊(公展版)1123.pdf,True,10522,114.3955602645874,0.010872035759797321
瑞芳區國土功能分區清冊(公展版)1123.pdf,True,32243,440.6553454399109,0.013666698056629683
石碇區國土功能分區清冊(公展版)1123.pdf,True,34773,486.2924802303314,0.01398477209991463
石門區國土功能分區清冊(公展版)1123.pdf,True,18227,235.10620713233948,0.012898787904336396
萬里區國土功能分區清冊(公展版)1123.pdf,True,20731,269.5806374549866,0.01300374499324618
蘆洲區國土功能分區清冊(公展版)1123.pdf,True,17723,185.4253590106964,0.010462413756739628
貢寮區國土功能分區清冊(公展版)1123.pdf,True,35574,386.22936177253723,0.010857068695466836
金山區國土功能分區清冊(公展版)1123.pdf,True,25174,320.0279891490936,0.012712639594386814
雙溪區國土功能分區清冊(公展版)1123.pdf,True,27913,375.42016410827637,0.013449652997108028
鶯歌區國土功能分區清冊(公展版)1123.pdf,True,39898,472.33351588249207,0.011838526138716027
